source_position,item_code,uom,display_name,category,detected_brand,detected_model
4003,IND-DUS-SCH-240L,UNIT,Schaefer Waste Container (green) 240L,Plumbing,,
2830,X-FAN-CEI-COSA-998,UNIT,Alpha Cosa 998 Ceiling Fan - Pwt,Fans & Ventilation,,
2832,ELE-CEI-LIG-1842/1,SET,1842/1 L/ceiling Lamp,Lighting,,
5041,IND-CAN-ARMY,UNIT,Canopy 3 MTR X 3 Mtr-army,Building Materials,,
5203,LAD-H/D-STRO-DS03,UNIT,H/d Double Side Ladder 3 Step,Ladders & Access,,
5456,LAD-ALU-AT-DS07,UNIT,At 7 Step D/side Aluminium Ladder,Ladders & Access,,
2785,SIN-STA-RAC-110037,SET,Heavy Duty S/s Flexible Basin Stand,Bathroom,,
4995,CUT-TIL-RIV-450MM,SET,Rivoz Tile Cutting Machine 450MM,Flooring,,
2882,COC-SIN-DOU-VIP3366,SET,Two-way Arc Sink Tap: Vip 3366 Pillar 1/2,Kitchen & Sinks,,
4076,BBQ-GRI-CN FYZ-28022A,SET,Enamel Portable Bbq Grill Set - 28022A,Outdoor & Garden,,
