source_position,item_code,uom,display_name,category,detected_brand,detected_model
6954,GWS060-BEARING-607-2RSH/C3,PCS,607 Bearing For Gws 060 Whi,Other,,
6996,"AER-BV-101(3"")",PCS,"Aerico Bv 101 (3"")",Other,,
5187,CAR-TYRE-SHI-BLU-500ML,BTL,Aa Car Care Tyre Shine (blue) 500ML,Automotive,,
6994,TOO-WRE-ADJ-GD300,PCS,Gd Adjustable Wrench 12,Hand Tools,,
7470,ELE-BOX-MCB-10WAY,PCS,Tc 10 Way Mcb Box,Electrical,,
6920,"CUT-SAW-SUP-18""",PCS,18 Supersawman Handsaw,Abrasives & Cutting,,
6490,BLI-HSS-HOL-SAW-30MM,PCS,Navato Hole Saw Cutter 30MM,Power Tool Accessories,,
7039,"SHH-CAGE-2RING-12""",PCS,2 Ring Cages 12,Fishing & Tackle,,
6494,DRI-BIT-116D,PCS,25MM Hitmax Diamond Core Bit,Power Tool Accessories,,
6438,DOR-SOC-SGD-100MMSS,PCS,10MM (small) SS St. Guchi Dust Socket,Electrical,,
