source_position,item_code,uom,display_name,category,detected_brand,detected_model
7714,WEL-COL-1.6MM,PCS,1.6MM Collet,Power Tool Accessories,,
3651,PAI-BRU-680-065MM,PCS,Paint Brush 680 X 65MM,Paint & Sundries,,
7479,"TOO-FIL-ORE-3/16""",PCS,3/16 Oregan Chainsaw File (b) (PCS),Hand Tools,,
7652,FLO-MOC-31169,PCS,31169 12 X 12 Floor Tiles,Flooring,,
7262,HHD-HAN-LEV-HIGH,PCS,High Level Handle,Doors & Hardware,,
6168,IND-WIR-MES-181819-LTH,FTS,Wire Mesh 3/4 X 3/4 X 3 X 19G,Electrical,,
4341,DOR-HIN-BRI-100MM,PAIR,Iron Hinges Bright 4,Home Appliances,,
6146,IND-WIR-MES-2X2X3'X15GX100',FTS,Wire Mesh 2 X 2 X 3 X 15G X 100,Electrical,,
3346,HOS-CLE-01230,MTR,13MM X 30M Clear Hose,Outdoor & Garden,,
7526,FIT-HDPE-BEN-FEM-20MMX34,PCS,HDPE Bend Female 20MM X 3/4,Plumbing,,
